id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_style_anime_elo,category_style_cartoon_illustration_elo,category_style_general_photorealistic_elo,category_style_graphic_design_digital_rendering_elo,category_style_traditional_art_elo,category_subject_commercial_elo
b0f2192b-678c-405d-94f8-4525064713eb,Stable Diffusion 3.5 Large,stable-diffusion-3-5-large,2024-10,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,1023,1017.0,987.0,1033,1007,1123.0,991.0
b7a4bc1e-1da9-4d29-8c55-67124e867d4c,Stable Diffusion 3 Large,stable-diffusion-3-large,2024-02,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,1019,994.0,983.0,1031,990,1144.0,978.0
62122232-d667-4359-aa5f-4390963190e9,Stable Diffusion 3.5 Large Turbo,stable-diffusion-3-5-large-turbo,2024-10,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,1019,1013.0,996.0,1033,997,1102.0,989.0
f41ba31b-7ba3-44bc-9699-084440d1535e,Ideogram v1,ideogram-v1,2024-02,a8b2ac11-1f36-44cb-9e88-383c4e0d749f,Ideogram,1015,906.0,988.0,1067,947,1157.0,1028.0
65f37105-427a-4f10-af5c-b001e59024a6,Phoenix 1.0 Ultra,phoenix-1-0-ultra,2024-12,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,1012,961.0,1058.0,1009,992,1112.0,1016.0
b23a5363-0e53-48f1-93b1-db1350b72844,Ideogram v2a,ideogram-v2a,2025-02,a8b2ac11-1f36-44cb-9e88-383c4e0d749f,Ideogram,1007,930.0,995.0,1038,967,1097.0,1032.0
9f592429-9411-4c1e-bebe-780d2790759a,Phoenix 0.9 Ultra,phoenix-0-9-ultra,2024-06,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,1007,885.0,1015.0,1014,998,1087.0,1045.0
0b89ea2e-c652-485a-aa8c-34ceafed224f,Playground v3 (beta),playground-v3-beta,2024-09,f04aca25-ae17-42e2-a0b7-0c9734e0adfe,Playground AI,1003,1000.0,1009.0,1005,979,1125.0,965.0
83be9cb8-55f8-4e7c-be4e-7073f2644b5a,Krea 1,krea-1,2025-06,da6aca5c-fe97-453a-b5cb-43de1ac7210b,Krea,1001,893.0,922.0,1064,961,1076.0,1012.0
d77cfc0a-2fa1-4f8e-9f7f-a666b348b1e9,FLUX.1 [schnell],flux-1-schnell,2024-08,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1000,1000.0,1000.0,1000,1000,1000.0,1000.0
